id,page_type,url,first_view_pattern,section_flow,cta_pattern,trust_or_objection_pattern,reusable_structure,do_not_reuse
C01,運送業特化ファクタリング公式LP,https://no1service.co.jp/unsou/,業種限定と資金化の即時性を最初に提示,要点カード→短い申込フォーム→運送業の支払い場面→仕組み→事例→会社情報,フォームと電話を複数位置で反復,資金使途の具体例と手続きの説明,業界の支払い場面を先に可視化しCTAを段階配置,実績数値・手数料・顧客事例・画像・文言
C02,運送会社向けファクタリング公式LP,https://www.jtc-nagoya.co.jp/tf_lp/,運転資金の不足と短時間診断を提示,対象者→利用者の声→契約安心→業界課題→仕組み→条件,診断と問合せをFVと中盤に配置,条件と情報取扱いを明示,自己判定を先に置きフォーム前に条件を見せる,費用条件・事例・契約説明の表現
C03,トラックリースバック公式LP,https://www.55truck.com/lp_lease_back_ppc_01/,車両を使いながら資金を確保する代替手段を提示,方式説明→利点→複数事例→補足,問い合わせ導線を複数用意,車両を失わない不安を処理,資金源ごとの選択肢を比較表で分ける,費用対比・事例・商品訴求
C04,トラックファイナンス解説記事,https://www.g-autolease.com/supports/%E6%80%A5%E3%81%8E%E9%81%8B%E8%BB%A2%E8%B3%87%E9%87%91%E3%82%92%E8%AA%BF%E9%81%94%E3%81%97%E3%81%9F%E3%81%84%EF%BC%81%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%90%E3%83%83%E3%82%AF%E3%81%AE%E5%AF%A9%E6%9F%BB/,急ぎの調達場面を質問形式で開始,調達メニュー→注意点→適した方式→書類→相談→関連記事,相談CTAを解説後に配置,方式ごとの注意点を先に説明,比較の前に判断順と注意点を示す,特定方式の推奨根拠・商品条件
C05,運送業向け比較記事,https://jp-fs.jp/factoring/factoring-transportation/,比較表で候補群を先に提示,比較表→各社カード→選び方→補足,各社の公式導線をカード内に配置,用途・速度・コストなどの軸を表に明示,表→条件別深掘りの二層構造,順位・料率・紹介リンク・各社説明
C06,運送業向け比較データベース,https://facutto.jp/ranking/category/transportation,上位候補と比較列を先に提示,比較表→個別カード→利用場面→条件別案内,各サービスの詳細または公式導線,口コミ・書類・方式などの比較列,モバイルで表を絞り用途別カードへ移す,評価・口コミ・掲載数・順位
C07,比較ランキング,https://factoringdb.com/factoring/industry/transport,候補一覧と評価軸を先に提示,候補カード→比較軸→個別説明→選び方,個別詳細または公式導線,方式・入金速度・必要書類などの選択材料,一覧を読む前に判断軸を示す,ランキング・星・個別数値
C08,長文比較記事,https://ampersand-tax.jp/article/recommended-factoring-transportation/,比較対象の広さを先に示す,比較表→個別紹介→選び方→注意点→用語説明,個別紹介から外部導線,方式の基礎説明と注意点,比較後に教育と注意点を置く長文設計,紹介順・広告リンク・各社条件
C09,比較と教育の複合記事,https://faclog.jp/magazine/transportation-industry-factoring/,比較表の後に業界課題を説明,比較→資金繰り課題→方式の利点→注意点,比較後に外部導線を配置,入金サイトと先行支出のズレを説明,比較の必要性を業界構造から納得させる,方式の優劣・個別条件
C10,適合判定を重視した比較記事,https://big-factoring.com/column/transport/,使えるケースと使いにくいケースを先に提示,適合判定→支払い構造→比較→個別紹介→流れ,適合を理解した後に外部導線,売掛金の有無などを早期に確認,CTA前の対象判定でミスマッチを減らす,個別紹介・順位・条件
